host,external_salon_id,salon_name,external_therapist_id,therapist_url,fetch_status,http_status,parsed_count,sample_records,error
mrs-iyashi.com,36c8c727-1d5f-4442-bb29-272d84a05173,ミセスの癒しエステ,aaf7d6c9-5360-43bf-9d9e-16c54999972b,https://mrs-iyashi.com/profile.html?uid=11285,ok,200,0,[],
mrs-komoriuta.com,21792df6-cd8c-4b92-bd9e-67b2a5e579dd,ミセスの子守唄,b50b9fa8-20a4-48fe-b4f8-03e8c2288c5f,https://mrs-komoriuta.com/list/profile/?uid=199,ok,200,0,[],
mrs-madonna.com,4d051648-cb45-482b-8e21-6541bace1def,ミセスあまおうセラピ 旧ミセスマドンナ,c3e8d2c0-e1f1-4d0a-b053-8fdbbc3e4fe8,https://mrs-madonna.com/lady_detail.php?lady_num=58491,fetch_error,,0,,fetch failed
mrs-premier.com,245cb406-637a-4dc8-ad24-e39c91f1d083,ミセス大阪メンズエステ プレミア,e516e199-4800-4073-b65c-6673cbeb052c,https://mrs-premier.com/profile/2aa4993795ca7c225b270f792d62a81db830ae16.html,ok,200,0,[],
mrsjolie-osaka.com,96a366d9-8999-4d1b-9b37-85cd84c84612,ジョリエ 大阪,75334213-238b-4631-bf7e-79ed3a977b72,https://mrsjolie-osaka.com/profile?id=470,ok,200,0,[],
mrsx1-spa.com,7bdfa4b7-6109-4b06-b0e0-e9cca318f23a,ミセスエックスワン,6339189b-1778-46a3-8777-e3ce561d9302,https://mrsx1-spa.com/therapist/620461/,ok,200,0,[],
mtime-yokohama.net,b844fd2e-b54a-4ed8-ba51-1ca0850eaf69,エムタイム 旧セレーネ,9c91a6e7-c2e2-493a-b246-398ce7af8af4,https://mtime-yokohama.net/profile?lid=36,ok,200,0,[],
mufufu-foot-care-center.com,b64f1284-2d6e-41c8-b0b2-4da427eb9e88,ムフフフットケアセンター,0bbb9bef-2eec-4169-82e8-c6e2a06dc9da,https://mufufu-foot-care-center.com/staff/%e6%b5%85%e8%a6%8b%e3%81%b2%e3%81%aa%e3%81%9f/,ok,200,0,[],
nagoya-olive.com,551a96c8-aef4-4536-9790-05362ce89bcc,オリーブ,383fb9eb-564d-4478-be3c-8db566f0ee9b,https://nagoya-olive.com/staff/details/010ba5d8-07e7-4cfc-ac02-35f8116d543d,ok,200,0,[],
namexspa.com,c52bea3e-eb3e-40c8-a404-3078d8747e8d,ナメックスパ 旧レッドリボン中野,cf3a5b06-7d80-4b8c-9d35-fbde13b028d8,https://namexspa.com/therapist/56002,ok,200,0,[],
naniwajoshi.com,3bc9177d-01fe-4895-8585-4751d9772da7,なにわ女子,26021653-ec90-4267-a0d1-34ceb1d5096b,https://naniwajoshi.com/profile?id=195,ok,200,0,[],
noir-esthe.com,8252b809-4dcf-4079-bf5e-7da5addd3c59,ノアール 旧ラトゥール,4ba462ae-49cf-45db-87d8-4ef766fb23f3,https://noir-esthe.com/cast/cast-1725/,ok,200,0,[],
nukumorilabo.com,3e4dd7fa-31fa-4f4c-93fa-e214d1a8ade1,ぬくもりLABO,3813774c-9f7b-4c98-9fe9-3dfa40bc4b9e,https://nukumorilabo.com/therapist/868430/,ok,200,0,[],
o-checkmate.com,4cc36762-6678-4740-bf95-46675e782122,チェックメイト,73d65ad4-713e-4875-977a-38c0c7976723,https://o-checkmate.com/profile?id=133,ok,200,0,[],
o.senju-lamp.com,4a2221fa-7293-419b-92c6-3988c71a4060,らんぷ 大泉学園,b8386607-6c49-4521-bdd4-421386d88d73,https://o.senju-lamp.com/therapist/IDCNVMWS,ok,200,0,[],
ob-lige.net,64132a39-1ffe-404e-b620-9cf337c8ed28,オブリージュ,fd5b3c9c-26d2-4ebb-94b1-44fd6bd610a6,https://ob-lige.net/staff_detail.php?id=AF1AD057,ok,200,0,[],
offside-spa.com,539e21a3-fb72-43a9-abe4-dbefd8b5eccc,オフサイド,33bd7078-028e-4195-80de-52ca4306335e,https://offside-spa.com/therapist/63140,ok,200,0,[],
oil-senmon-nuluspa.com,15c6c1de-15c1-4319-ad28-09260b6d7435,たっぷりオイル専門！ぬるスパ,5c78361c-cc2a-4b55-b33c-0c7d014cce79,https://oil-senmon-nuluspa.com/profile?lid=13,ok,200,0,[],
oishii-milk.com,080896fb-3862-4e51-afd9-91e47fd752aa,おいしい牛乳屋さん。,544843e9-15fa-4e95-b8c3-d1f35146ce61,https://oishii-milk.com/profile?lid=22,ok,200,0,[],
okayama-winkle.com,d4989c91-71ba-4883-a2f0-1d6b3b48e289,Encore (アンコール) 岡山,ba32b2fd-a3a7-4a03-825e-81be5329f4ef,https://okayama-winkle.com/project/uta/,http_error,404,0,,HTTP 404 https://okayama-winkle.com/project/uta/
omotena-spa.com,16c6a757-fd19-4ca4-a6c6-b3b0d32d7a78,おもてなスパ,01cc9c62-ce5e-44aa-a61d-5c43040bc58e,https://omotena-spa.com/therapist/7399,ok,200,0,[],
onepeace-spa.com,8cbfebcf-899d-4f3c-959d-6015ee415451,ワンピース,3b9114f1-2cf6-4653-806f-defb667562a7,https://onepeace-spa.com/therapist/36844,ok,200,0,[],
onerose-esthe.net,3299ecd0-97e5-4cad-9cfb-2bcf293c4e6c,ワンローズ 姫路店,e8c68ec3-52e9-4229-8e26-f985c50d17f2,https://onerose-esthe.net/profile?lid=93,ok,200,0,[],
oni-kando.com,eaf324c0-e9cb-49b5-9ce8-ce3699cc3aef,オニ感度,175003f7-1e24-4fd9-8b05-4349a7b5e400,https://oni-kando.com/cast/cast-4199/,http_error,404,0,,HTTP 404 https://oni-kando.com/cast/cast-4199/
ore-no-ie.com,98b32339-4282-4d29-b566-4f99ca3e4b1e,俺の家,879a9582-c5cc-44ac-a3d9-da07ca3c4edd,https://ore-no-ie.com/profile.php?sid=943,ok,200,0,[],
organic-hiroshima.com,66f1306b-f9cb-43b7-96c8-9a5d6f48ded8,Organic energy (オーガニックエナジー),44541c4c-5816-4bb2-821a-0902a57533a1,https://organic-hiroshima.com/lady_detail.php?lady_num=138099,ok,200,0,[],
osaka-belle-femme.com,acffe437-11cf-4abf-a687-895ddec68499,ベルファーム,b2ec3b14-647d-4ad8-81ba-8e5a5bb56835,https://osaka-belle-femme.com/profile?lid=441,http_error,403,0,,HTTP 403 https://osaka-belle-femme.com/profile?lid=441
osaka-bellefemme.com,acffe437-11cf-4abf-a687-895ddec68499,ベルファーム,09be75c2-fbf7-454d-97db-139ef26afda3,https://osaka-bellefemme.com/profile?id=412,ok,200,0,[],
osaka-kissmint.com,d36755c9-64ee-4c29-9fdf-f6789511c4aa,キスミント,7805019c-bf59-4faa-8697-2e7f6c795274,https://osaka-kissmint.com/profile?id=34,ok,200,0,[],
osaka-koyori.com,86c43057-93ce-4845-8d50-f90ee37924dc,心和 (こより),f1906edc-ee63-42c3-bb0b-6c1343659cf1,https://osaka-koyori.com/profile?id=52,ok,200,0,[],
osinobiasabu.com,958e943b-b685-474d-bb39-690e5a241ab3,おしのびSPA,b14db906-5c6b-4951-8bea-f8a43b87bccb,https://osinobiasabu.com/therapist/735188/,ok,200,0,[],
otona-gohoubi.com,07da1ce1-36f3-4f8c-b1a4-88afc0d12134,大人のごほうび,ec51789d-2828-4991-9301-fdaaefbd6388,https://otona-gohoubi.com/cast/cast-1838/,ok,200,0,[],
otona-neverland.net,8d3a8853-4b2d-49b6-a372-1ace224eff12,大人のネバーランド,3069decb-bcf7-477e-b799-6ef67f4d406e,https://otona-neverland.net/cast/cast-1823/,ok,200,0,[],
